Po Polsku,Po Niemiecku
mój laptop się zawiesił,Mein Laptop is abgestürzt
wyłączać się samoczynnie,Sich von allein ausschalten
korzystać,Benutzen
monitor,Der Bildschirm
naciskać klawisz,Die Tasten drücken
laptop został zreperowany,Der Laptop wurde repariert
Kiedy włączyłam laptop natychmiast się zawiesił,Als ich den Laptop einschaltete stürzte er einfach ab
poczekam na ciebie ile będzie trzeba,Ich warte auf dich solange es nötig ist
namawiać do,Über veden zu
pisać pamiętnik,Ein Tage Buch schreiben
zrobić dobre wrażenie na,Einen Guten Eindruch auf...machen
podchodzić do,Zu kommen auf
spojrzeć głęboko w oczy,Lief in die Augen sehen
zdjęcia z wakacji,Urlaubsfotos
obejmować,Umarmen
wtedy,Damals
tęsknić,Vermissen
wędkować,Angeln
skanować zdjęcia,Die Fotos einscannen